source,target,dist,street_name
13207405565,13207405566,16.84,Unnamed road
13207405565,13207405564,24.21,Unnamed road
13207405566,13207405567,5.16,Unnamed road
13207405566,13207405565,16.84,Unnamed road
13207405567,13207405603,8.72,Huttelaan
13207405567,1083664123,5.24,Huttelaan
13207405567,13207405568,4.27,Unnamed road
13207405567,13207405566,5.16,Unnamed road
13207405568,13207287006,15.47,Unnamed road
13207405568,13207287005,37.72,Unnamed road
13207405568,13207405567,4.27,Unnamed road
13207405569,13207405556,1.41,Unnamed road
13207405569,13207405555,1.9,Unnamed road
13207405570,13207405554,1.55,Unnamed road
13207405570,13207405555,2.54,Unnamed road
11188306946,13135941183,4.18,Unnamed road
11188306946,11188306945,73.74,Unnamed road
11188306946,11188306948,56.94,Unnamed road
11188306946,13011305173,9.02,Unnamed road
11188306945,11188306946,73.74,Unnamed road
11188306945,11188306944,8.63,Unnamed road
11188306948,11188306946,56.94,Unnamed road
11188306944,11188306945,8.63,Unnamed road
11188306944,11188306943,7.13,Unnamed road
11188306943,11188306944,7.13,Unnamed road
11188306943,11188306942,31.88,Unnamed road
13207405588,13207405589,67.5,Huttelaan
13207405588,17056074,16.27,Huttelaan
13207405589,13207405590,9.03,Huttelaan
13207405589,13207405588,67.5,Huttelaan
13207405590,273105980,24.65,Huttelaan
13207405590,13207405589,9.03,Huttelaan
13207405591,1199487845,9.26,Huttelaan
13207405591,273105980,13.71,Huttelaan
1270219800,251427742,70.54,Filosofenlaan
1270219800,17056057,128.97,Filosofenlaan
1270219800,1282433562,84.24,Unnamed road
13207405592,13207405597,8.19,Middelweg
13207405592,13207405594,6.97,Huttelaan
13207405592,13207405595,2.18,Huttelaan
13207405594,13207405599,4.84,Huttelaan
13207405594,13207405592,6.97,Huttelaan
13207405595,13207405592,2.18,Huttelaan
13207405595,13207405598,3.85,Huttelaan
13207405596,13207405597,4.91,Middelweg
13207405596,2904248376,17.65,Middelweg
13207405597,13207405592,8.19,Middelweg
13207405597,13207405596,4.91,Middelweg
13207405598,13207405595,3.85,Huttelaan
13207405598,13207405657,1.38,Huttelaan
13207405599,13207405600,8.41,Huttelaan
13207405599,13207405594,4.84,Huttelaan
13207405600,13207405601,33.0,Huttelaan
13207405600,13207405599,8.41,Huttelaan
13207405601,1199488120,5.76,Huttelaan
13207405601,13207405600,33.0,Huttelaan
13207405602,12754686124,28.69,Huttelaan
13207405602,13207405603,7.14,Huttelaan
13207405603,13207405602,7.14,Huttelaan
13207405603,13207405567,8.72,Huttelaan
13207405604,13207405605,5.09,Huttelaan
13207405604,12754686124,8.28,Huttelaan
13207405605,845332198,51.57,Huttelaan
13207405605,13207405604,5.09,Huttelaan
13207405606,17056074,6.42,Goudfazantenlaan
13207405607,17056075,5.7,Goudfazantenlaan
13207405608,2904959325,47.7,Goudfazantenlaan
13207405608,17056075,7.68,Goudfazantenlaan
13207405609,1199487994,197.61,Reeboklaan
13207405609,17056075,7.61,Reeboklaan
13207405611,17056076,30.77,Goudfazantenlaan
13207405611,13207405612,22.22,Goudfazantenlaan
13207405612,13207405611,22.22,Goudfazantenlaan
13207405612,1088225780,21.71,Goudfazantenlaan
13207405613,1083664128,73.34,Jachtlaan
13207405613,17056072,10.79,Jachtlaan
13207405614,1199487849,20.78,Graaf de Grunnelaan
13207405614,1199487787,91.32,Graaf de Grunnelaan
13207405615,13207405616,47.44,Unnamed road
13207405615,13207405649,2.49,Unnamed road
13207405616,13207405617,31.01,Unnamed road
13207405616,13207405615,47.44,Unnamed road
13207405617,13207405618,69.53,Unnamed road
13207405617,13207405616,31.01,Unnamed road
13207405618,13207405619,1.57,Unnamed road
13207405618,13207405617,69.53,Unnamed road
13207405619,13207405620,1.88,Unnamed road
13207405619,13207405618,1.57,Unnamed road
13207405620,13207405621,2.2,Unnamed road
13207405620,13207405619,1.88,Unnamed road
2161935405,11188270327,4.61,Unnamed road
13207405621,13207405622,2.1,Unnamed road
13207405621,13207405620,2.2,Unnamed road
13207405623,13207405624,31.86,Unnamed road
13207405623,13207405622,1.79,Unnamed road
13207405624,13207405625,24.85,Unnamed road
13207405624,13207405623,31.86,Unnamed road
13207405625,13207405626,23.86,Unnamed road
13207405625,13207405624,24.85,Unnamed road
13207405626,13207405654,7.04,Unnamed road
13207405626,13207405625,23.86,Unnamed road
13207405627,13207405652,14.4,Unnamed road
13207405627,13207405653,23.13,Unnamed road
13207405628,13207405629,25.2,Unnamed road
13207405628,13207405652,19.06,Unnamed road
13207405629,13207405628,25.2,Unnamed road
13207405622,13207405623,1.79,Unnamed road
